type,text,reading,meaning,note
meta,食無求飽,식무구포,,PDF에 보이는 원문·음·번역·설명 기준
word,不多食,불다식,많이 먹지 않음,
word,食無求飽,식무구포,먹을 때 배부름을 구하지 않음,
word,食物,식물,음식물,
word,能節,능절,능히 절제함,
word,保沖和而順頤養,보충화이순이양,조화로운 기운을 보존하고 섭양을 따름,
word,沖和,충화,조화로운 기운,PDF 파란 설명
word,貪生務飽,탐생무포,날 것을 탐하고 배부름에 힘씀,
word,淤塞難消,어색난소,막혀 소화하기 어려움,
word,徒積暗傷,도적암상,단지 쌓여 나도 모르는 사이에 상함,
word,以召疾患,이소질환,이로써 질환을 부름,
word,肉雖多,육수다,고기가 비록 많음,
word,不使勝食氣,불사승식기,밥기운을 이기지 않게 함,
word,唯酒無量,유주무량,오직 술은 헤아림이 없음,
word,不及亂,불급란,어지러움에 이르지 않음,
word,沽酒市脯,고주시포,술과 시장의 말린 고기,술과 포는 집에서 정성들여 만드는 음식인데 파는 것은 질을 알 수 없었다.
word,不撤薑食,불철강식,생강 먹는 것을 물리지 않음,薑: 정신을 일깨우는 효능. 너무 많이 먹으면 열을 낸다.
word,君子,군자,유교에서 바라보는 이상향이자 가장 높은 경지,PDF 파란 설명
word,敏於事而慎於言,민어사이신어언,일에는 민첩하고 말에는 삼감,
word,就有道而正焉,취유도이정언,도가 있는 곳으로 나아가 바르게 함,
word,耗氣,모기,기를 소모함,
word,靈源,영원,"사람의 근원, 원기",PDF 파란 설명
word,神水,신수,몸의 원천적인 수기,PDF 파란 설명
word,大便頻數,대변빈수,대변을 자주 봄,
word,耗穀氣之化生,모곡기지화생,곡기가 변화하여 생겨나는 것을 소모함,
word,溲便利滑,수변리활,소변이 원활함,
word,耗源泉之浸潤,모원천지침윤,원천이 적시는 것을 소모함,
word,精清冷而下漏,정청랭이하루,정액이 청랭하여 아래로 샘,
word,汗淋漓而外泄,한림리이외설,땀이 흠뻑 젖을 정도로 밖으로 샘,
word,食物過傷,식물과상,음식물이 지나치게 상하게 함,
word,滋味太厚,자미태후,맛이 지나치게 두터움,
word,滿意之食,만의지식,가득 채우고자 하는 음식,
word,爽口之味,상구지미,입을 기쁘게 하는 맛,
word,頓頓必無傷,돈돈필무상,끼니마다 반드시 상함이 없음,
word,物物皆爲益,물물개위익,음식마다 모두 이익이 됨,
word,糟粕變化,조박변화,조박으로 변화함,
word,早晩溲便,조만수변,아침저녁으로 대소변을 봄,
word,按時華精,안시화정,때에 맞게 정기로 변화함,
word,和一上下,화일상하,하나로 조화롭게 위아래로 오르내림,
word,津液蓄神,진액축신,진액이 신을 쌓음,
word,含藏內守,함장내수,머금어 오장 안을 지킴,
word,榮衛外護,영위외호,영위가 바깥에서 보호함,
word,邪毒不能犯,사독불능범,나쁜 독기가 침범할 수 없음,
word,疾疹無由作,질진무유작,병이 말미암아 일어나지 않음,
word,古人之立言垂教,고인지입언수교,옛사람이 말을 세우고 가르침을 드리움,
word,養生之大經,양생지대경,양생의 큰 가르침,
sentence,語曰 不多食이라하고 又曰 食無求飽라하니,어왈 불다식이라하고 우왈 식무구포라하니,논어에서 말하기를 많이 먹지 않는다 하고 또 말하기를 먹을 때 배부름을 구하지 말라하니,
sentence,謂食物은 無務於多요 貴在能節이니 所以保沖和而順頤養也라,위식물은 무무어다요 귀재능절이니 소이보충화이순이양야라,"음식물을 먹는 것은 많이 먹는 데에 힘쓰지 말아야 하고 그 귀함이 능히 절제할 수 있음에 있음을 말하였으니, 조화로운 기운을 보존하고 섭양을 따르는 방법이다.",沖和: 조화로운 기운
sentence,若貪生務飽하야 淤塞難消하면 徒積暗傷하야 以召疾患이라,약탐생무포하야 어색난소하면 도적암상하야 이소질환이라,만약 날 것을 탐하고 배부름에 힘써서 막혀 소화하기 어렵다면 단지 쌓여서 나도 모르는 사이에 상하게 되어 이로써 질환을 부른다.,
sentence,肉雖多나 不使勝食氣하시며 唯酒無量하시되 不及亂이러시다,육수다나 불사승식기하시며 유주무량하시되 불급란이러시다,고기가 비록 많으나 그 고기로 하여금 밥기운을 이기지 않게 하시며 오직 술은 헤아림이 없게 하시되 어지러움에 이르지 않으셨다.,
sentence,沽酒市脯를 不食하시며 不撤薑食하시며 不多食이러시다,고주시포를 불식하시며 불철강식하시며 불다식이러시다,파는 술과 시장의 말린 고기를 먹지 않으시며 생강 먹는 것을 물리지 않으셨으며 많이 먹지 않으셨다.,沽酒市脯 / 薑
sentence,子曰 君子食無求飽하며 居無求安하며,자왈 군자식무구포하며 거무구안하며,공자가 말하기를 군자는 먹을 때 배부름을 구하지 않고 거처함에 편안함을 구하지 않았으며,君子: 유교에서 바라보는 이상향. 가장 높은 경지
sentence,敏於事而慎於言이요 就有道而正焉이면 可謂好學也已니라,민어사이신어언이요 취유도이정언이면 가위호학야이니라,일에 있어서는 민첩하게 하되 말에 있어서는 조심히 하며 도가 있는 곳으로 나아가서 바르게 한다면 가히 배움을 좋아한다고 말할 수 있다.,
sentence,蓋食物甚飽하면 耗氣非一이니,개식물심포하면 모기비일이니,대개 음식물을 먹되 매우 배부르게 한다면 기를 소모하는 것이 한 가지가 아니니,
sentence,或食不下而上涌嘔吐하야 以耗靈源하고,혹식불하이상용구토하야 이모영원하고,먹은 것이 내려가지 않아 위로 솟구쳐 구토하게 되어 이로써 영원을 소모하게 되고,靈源: 사람의 근원. 元氣(원기)
sentence,或飲不消而作痰咯唾하야 以耗神水하며,혹음불소이작담각타하야 이모신수하며,혹은 마신 것이 소화되지 않아 담을 만들고 침을 뱉게 해서 이로써 신수를 소모하게 되며,神水: 몸의 원천적인 수기
